"McCC","WMC","NL","scores_ANN"
2.3,7,2,3.3
2.3,25,3,4.8
2.3,24,2,6.4
1,1,0,1.3
2,8,2,1.5
2,2,1,1.9
1,1,0,0.7
1,2,0,4.1
1,2,0,3.5
1,10,0,3.6
1,1,0,2
3.2,16,2,1.7
1.2,15,1,4.6
1,3,0,2.6
1.3,27,2,4.9
1,6,0,3.2
2,3,1,2.8
2,3,1,1.3
1,1,1,0.7
1,2,0,3.9
1.2,1,0,2.5
1.6,11,1,4.2
2.5,56,3,4.3
1.2,5,1,3.6
1.2,1,0,5
1.2,4,0,3.5
3,3,2,1.9
1,1,0,1.9
2.2,9,2,1.7
1.4,29,1,3.9
1,1,0,0.2
2,10,2,4.3
1,4,0,2.7
1.8,7,5,4.6
1.8,5,0,5.3
2,2,1,4.4
1,1,0,1.4
1.8,9,2,5.4
1,1,0,1.8
2,4,1,2.3
1.4,7,2,5
1.4,0,0,2.7
1,1,0,1.2
1,2,0,2.3
1,0,0,2.2
1,1,0,2.5
2,4,1,4.2
3.8,15,3,2.1
1.1,11,1,2.4
1,5,0,3.3
1,1,0,1.7
2.3,64,5,4.9
2.3,1,0,4.2
1,3,0,3.5
1.1,13,2,5.7
1.1,5,0,4.1
1.1,3,1,3.4
1.1,1,0,2.6
1.4,7,1,2.8
1,4,0,3.2
2.3,21,2,6.2
2.3,0,0,1.8
2,2,1,1.4
2.7,19,2,3.6
1,1,0,2.7
1,3,0,3
1,2,0,1.8
1.5,9,1,5.2
1.5,9,1,2
1.2,5,1,5.4
1,2,0,1.1
1.8,28,2,3.7
1.2,10,1,3.6
1.3,0,0,2.3
1.3,7,3,5.4
1.3,1,0,3.4
1.3,1,0,2.5
1.3,1,0,2.7
3.8,15,2,2.3
2.3,57,3,4.3
2.3,14,1,3.5
2.3,8,1,3.2
2.3,5,2,5.1
2,2,1,1.7
5,121,4,3.5
1.1,24,1,5.7
1.4,16,3,3.5
1.5,6,1,3.2
1,1,0,4.1
1.2,22,1,3
1,2,0,2.9
1,0,0,1.2
1,2,0,1.9
1.5,9,1,3.5
1,2,0,1.6
1.9,29,4,3.3
3.2,38,3,4.2
1.8,9,1,2.9
1.8,7,3,2.3
3.1,0,0,3.4
3.1,56,2,6.2
1,5,0,3.8
1,7,0,3.5
1.9,8,1,5.4
2,6,1,5.5
1.2,5,1,1.5
1,4,0,2.8
1,1,0,3.4
1.4,10,1,3.5
1.2,5,1,3.5
1,2,0,2
1.1,20,0,3.2
1.1,4,2,2.3
1.9,27,1,5.2
1,6,0,5.5
4.8,62,10,4.5
1,5,0,3
2,58,2,4.5
2,8,1,3.1
2,2,0,3.5
2,10,1,2.4
2.3,0,0,0.7
2.3,16,4,2.7
1,7,0,0.6
1.2,6,1,0.6
2.8,14,3,2.9
1,5,0,1.8
1.5,15,2,3.5
1.1,8,1,2.8
5.3,47,7,4.3
5.3,1,0,1.3
1,1,0,5.6
1,29,0,3.7
1,2,0,3.7
1.2,8,2,3.8
1.2,5,0,2.3
1.2,0,0,0.7
2.6,13,3,2.5
1,3,0,4
1,3,0,2.2
1.8,6,2,2.3
2.6,21,3,2.9
2.6,18,3,2.7
1,2,0,0.8
1,2,0,1.5
1.2,14,1,3.7
1.5,6,1,3.8
1.4,8,2,4.8
1.4,1,0,7.3
1.4,0,0,1.8
1.4,13,2,7.8
1.2,6,1,2.7
1,0,0,0.5
1,7,0,2.8
1,1,0,3.6
1,5,0,2.5
1.6,8,1,3.8
2.9,5,2,2.9
2.9,14,2,2.6
2.9,6,1,5.1
2.9,3,1,3.4
1.2,2,1,2.5
1,4,0,2.1
3,6,2,1.8
1,1,0,3
1,15,0,3.2
