"NII","RFC","CBO","scores_ANN"
3,3,1,3.3
2,36,24,4.8
6,12,1,6.4
0,1,2,1.3
1,6,3,1.5
0,3,3,1.9
0,1,1,0.7
1,10,9,4.1
0,2,2,3.5
9,21,6,3.6
0,2,1,2
0,12,7,1.7
5,20,6,4.6
6,3,6,2.6
0,48,6,4.9
8,8,3,3.2
0,2,3,2.8
1,5,13,1.3
0,2,3,0.7
1,4,2,3.9
0,2,3,2.5
1,20,13,4.2
50,41,14,4.3
0,6,3,3.6
0,3,4,5
5,4,0,3.5
0,8,5,1.9
0,1,1,1.9
4,8,7,1.7
36,22,4,3.9
1,1,0,0.2
1,25,14,4.3
71,7,6,2.7
0,3,2,4.6
0,7,1,5.3
0,2,3,4.4
2,3,3,1.4
0,13,7,5.4
0,1,1,1.8
0,5,4,2.3
7,5,0,5
0,0,0,2.7
0,3,9,1.2
0,2,3,2.3
0,0,0,2.2
1,9,8,4.2
0,2,2,0.7
0,9,4,2.1
2,19,9,2.4
7,9,6,3.3
0,3,3,1.7
135,29,1,4.9
0,1,3,4.2
5,9,11,3.5
1,14,2,5.7
0,5,2,4.1
0,11,6,3.4
2,2,3,2.6
1,8,2,2.8
0,10,8,3.2
0,7,6,3.2
5,16,4,6.2
0,0,0,1.8
0,1,1,1.4
8,22,13,3.6
0,1,3,2.7
0,3,1,3
0,3,3,1.4
0,3,5,1.8
9,16,2,5.2
0,15,7,2
1,5,6,5.4
0,2,5,1.1
6,25,8,3.7
1,11,3,3.6
0,0,0,2.3
1,10,1,5.4
2,2,3,3.4
0,3,4,2.7
0,8,4,2.3
115,47,11,4.3
6,16,9,3.5
0,13,7,3.2
0,3,1,5.1
0,1,1,1.7
33,33,6,3.5
1,49,10,5.7
0,10,5,3.5
0,2,3,1.1
0,7,4,3.2
0,1,1,4.1
10,20,4,3
0,4,6,4.1
1,4,4,2.9
0,0,1,1.2
3,2,1,1.9
4,14,8,3.5
1,5,12,1.6
5,39,22,3.3
1,3,4,1.8
1,58,31,4.2
3,6,2,2.9
1,13,12,2.3
0,0,1,3.4
1,29,3,6.2
2,11,11,3.8
3,3,1,2.6
2,9,6,3.5
1,9,5,5.4
0,9,8,5.5
5,5,3,1.5
0,5,2,2.8
1,5,5,3.4
11,13,9,3.5
4,8,8,3.5
0,1,2,2.7
0,3,1,2
2,4,0,3.2
0,41,12,3.2
1,5,5,2.3
19,27,6,5.2
13,6,2,5.5
9,64,31,4.5
3,6,4,3
1,6,4,1.4
34,37,14,4.5
1,5,2,3.1
1,4,9,3.5
2,6,4,2.4
0,0,0,0.7
1,11,4,2.7
11,12,2,0.6
0,16,18,1.2
14,8,5,0.6
0,1,0,1.7
3,8,3,2.9
0,13,10,1.8
1,13,3,3.5
7,16,11,2.8
1,21,12,4.3
0,1,1,1.3
0,3,2,1.7
0,1,3,5.6
0,4,6,1.1
0,43,9,3.7
0,4,3,3.7
1,2,2,1.8
0,7,3,3.8
9,7,8,2.3
1,7,5,2.5
0,5,4,4
1,3,0,2.2
0,4,3,3.9
1,4,2,2.6
1,5,4,2.3
1,20,9,2.9
14,19,8,2.7
1,3,3,0.8
0,2,1,1.5
1,13,1,3.7
0,1,2,1.2
1,5,2,3.8
1,7,7,4.8
0,2,1,7.3
4,16,1,7.8
1,8,3,2.7
0,0,2,0.5
0,15,8,2.8
0,1,0,3.6
1,8,6,2.5
1,7,3,3.8
1,2,2,2.9
4,4,7,2.6
4,4,0,5.1
18,7,5,2.1
10,5,4,1.8
0,1,2,3
0,5,5,2.7
0,40,24,3.2
1,7,3,2.8
0,1,0,0.7
2,3,1,4.3
0,2,0,2.2
0,11,8,5.5
0,1,1,0.8
1,23,9,3.1
25,52,39,3.7
1,12,5,2.4
1,5,4,1.9
1,11,5,2.4
0,4,3,1.9
0,4,3,2
0,12,5,4.7
5,2,2,1.9
0,3,5,3
0,3,4,2.5
1,2,2,3.2
6,10,7,1.9
0,5,1,2.3
0,3,4,1.8
0,6,6,4
0,2,1,1.9
0,21,16,1.6
3,7,3,0.9
3,8,1,2.9
3,5,4,2.7
16,20,1,2.7
0,16,15,1.9
0,5,5,3.2
0,1,1,1.2
4,7,6,3.3
0,0,0,1
11,20,10,3.7
0,4,1,2.1
0,4,5,4.1
0,8,6,3.2
0,10,2,2.5
1,17,12,4.1
0,2,1,3.8
2,8,7,2.9
9,18,1,5.2
0,2,1,1.8
0,1,2,1.4
0,37,28,2.9
0,8,1,4
151,77,13,5.2
2,7,3,2.8
3,6,3,2.6
0,13,3,2.8
0,1,2,1.5
1,1,0,1.4
11,8,3,4
2,5,3,1.2
1,3,1,2.2
1,2,2,1.2
2,13,2,3
0,1,2,5.6
0,2,2,3.8
0,9,4,2.2
15,61,32,2.5
1,2,1,1.2
0,18,4,2.8
6,23,2,4.6
0,4,1,3.8
0,12,6,0.9
2,5,3,2.8
1,10,2,2.4
1,7,6,3.5
0,4,2,2
0,4,5,2
1,4,3,4
0,4,5,2.1
0,1,2,2.1
0,3,4,2.1
0,7,2,4.5
10,9,3,3.1
0,2,1,4.2
1,37,14,3.7
1,3,3,2.6
0,14,8,5.4
1,3,2,1.8
0,5,5,1.9
0,4,5,1.9
6,2,1,0.3
3,4,0,2.2
1,6,2,2.8
4,3,2,1.4
1,10,3,3.7
2,4,3,1.5
6,6,3,2.9
321,126,27,5
1,30,19,4.5
1,3,2,2
0,1,4,2.7
0,2,2,1.5
0,13,9,6.1
0,11,7,4
0,16,1,3
0,2,2,1.7
6,12,4,3.8
1,4,4,2.2
0,1,0,1.9
44,46,8,4.8
0,2,3,2.7
1,6,3,3.7
10,8,2,3.3
0,57,3,4.2
3,2,0,3.9
0,3,2,2.3
0,4,1,3.2
0,4,3,2.5
0,2,2,4.4
