"TCD","DLOC","TCLOC","scores_ANN"
0.4,22,23,3.3
0.1,19,24,4.8
0.2,16,20,6.4
0,0,0,1.3
0.1,0,5,1.5
0,0,0,1.9
0,0,0,0.7
0,0,0,4.1
0,0,0,3.5
0,2,2,3.6
0,0,0,2
0.3,19,30,1.7
0.1,9,9,4.6
0.1,1,1,2.6
0,1,1,4.9
0,1,1,3.2
0.6,28,32,2.8
0.2,24,35,1.3
0.3,4,4,3.9
0,0,0,2.5
0.1,4,4,4.2
0,3,20,4.3
0,3,3,3.6
0,0,0,5
0.2,3,3,3.5
0.4,22,30,1.7
0.5,104,108,3.9
0.4,4,4,0.2
0.1,6,7,4.3
0,0,0,2.7
0,0,1,4.6
0,0,0,5.3
0,0,0,4.4
0.4,6,6,1.4
0,0,6,5.4
0,0,0,1.8
0,0,0,2.3
0.5,29,29,5
0,0,0,1.2
0,0,0,2.2
0,0,0,4.2
0.1,4,8,2.1
0,11,21,1.2
0.1,3,19,2.4
0.2,6,6,3.3
0.1,0,1,1.7
0,6,12,4.9
0.1,0,1,4.2
0,1,1,3.5
0.4,36,57,5.7
0,0,0,3.4
0,0,0,2.6
0,0,1,2.8
0.2,4,4,3.2
0.1,0,2,3.2
0.2,29,32,6.2
0,0,0,1.4
0.1,5,24,3.6
0.3,0,3,2.7
0.1,0,1,3
0.1,0,1,1.4
0.5,34,34,5.2
0.1,3,5,2
0,0,0,5.4
0,0,0,1.1
0.1,8,17,3.7
0.2,3,14,3.6
0.2,21,21,2.3
0.1,5,5,5.4
0.5,5,5,3.4
0.5,39,43,2.3
0.2,56,69,4.3
0,0,2,3.5
0,0,0,3.2
0,0,1,5.1
0.4,0,6,1.7
0.3,173,234,3.5
0,0,3,5.7
0.2,20,22,3.5
0.2,0,2,1.1
0.5,19,19,3.2
0.3,31,37,3
0.1,6,8,2.9
0,0,4,1.6
0,4,9,3.3
0.3,4,4,1.8
0,0,4,4.2
0.1,0,3,2.9
0.1,3,3,2.3
0.5,4,4,3.4
0,4,9,6.2
0,0,4,3.8
0,0,1,3.5
0.2,5,5,5.4
0,0,0,5.5
0,0,0,1.5
0,0,0,2.8
0.1,3,4,3.4
0.2,13,13,3.5
0.1,0,2,3.5
0.2,0,1,2.7
0.2,5,5,3.2
0,0,1,3.2
0.3,9,10,2.3
0,2,2,5.2
0.5,16,16,5.5
0,4,17,4.5
0.2,29,60,3
0.2,3,3,1.4
0.1,18,21,4.5
0.3,11,18,3.1
0,0,0,2.4
0.1,3,4,2.7
0.1,0,3,0.6
0.2,10,61,0.6
0,0,0,1.7
0.2,4,16,2.9
0.1,1,5,3.5
0.1,5,15,4.3
0,0,0,5.6
0,0,2,3.7
0,0,0,3.7
0.4,4,4,1.8
0,0,2,3.8
0,2,2,4
0,0,0,3.9
0.3,0,3,2
0,0,0,2.9
0.4,64,64,2.7
0.4,7,7,0.8
0.3,3,3,1.5
0.1,0,9,3.7
0.2,7,9,3.8
0.3,13,14,4.8
0.1,0,3,7.3
0.1,0,9,7.8
0,1,1,2.7
0,0,0,0.5
0,0,0,3.6
0.8,183,188,3.8
0.1,5,7,2.6
0.2,4,4,5.1
0,0,0,2.1
0.6,30,30,1.8
0.3,3,3,3
0.1,0,1,2.7
0.1,26,26,3.2
0.3,9,11,2.8
0.3,3,3,4.3
0,1,2,5.5
0.2,3,4,0.8
0,0,0,3.1
0,5,5,3.7
0.2,3,3,1.9
0,0,1,2.4
0.3,5,5,1.9
0.1,5,10,4.7
0.1,3,3,1.9
0.4,8,8,1.9
0.1,1,2,3
0.5,46,46,1.9
0,0,1,2.3
0.2,5,11,1.9
0.2,3,5,4
0.2,3,7,1.9
0.1,0,4,1.6
0.2,10,10,0.9
0.3,7,7,2.9
0.1,15,15,2.7
0.4,12,15,3.3
0.7,5,5,1
0.3,34,45,3.7
0.1,3,4,3.2
0.1,6,6,2.5
0,0,0,3.8
0.2,8,8,2.9
0.2,30,34,5.2
0.4,5,5,1.4
0.2,19,36,2.9
0.1,3,13,4
0.3,236,257,5.2
0.3,10,30,2.8
0.4,14,14,4
0.4,28,41,1.2
0.2,3,3,2.2
0.3,4,9,1.2
0,0,3,3
0.1,0,1,3.8
0.1,4,8,2.2
0.2,51,66,2.5
0.2,4,4,1.2
0.1,7,7,2.8
0,1,1,4.6
0.4,8,8,3.8
0.2,7,17,0.9
0.3,6,6,2.8
0.1,3,6,2.4
0.1,7,9,3.5
0.3,5,5,2
0.2,6,6,2
0.2,4,4,4
0,0,0,4.5
0.5,38,38,3.1
0.3,0,4,4.2
0.1,0,12,3.7
0.2,3,22,5.4
0.1,0,1,1.9
0.5,7,17,0.3
0,1,1,2.2
0.3,6,6,1.4
0.1,4,13,3.7
0.5,22,22,1.5
0.4,18,18,2.9
0,4,20,5
0.1,13,22,4.5
0,0,1,6.1
0,0,0,4
0.1,10,10,3
0.1,6,6,3.8
0.1,32,45,4.8
0,1,1,3.7
0,0,0,3.3
0,10,11,4.2
0.1,0,2,0.7
0.4,4,4,3.4
0.3,3,3,3.9
0.3,3,3,2.3
0.4,7,7,3.2
0.2,3,3,4.4
0.2,3,17,4.6
0,3,3,4.7
0.1,5,6,4.7
0.6,27,226,3.8
0.1,10,14,3
0.4,9,9,2.6
0.1,7,65,3.7
0,0,0,5.1
0.1,34,47,4.8
0.6,50,51,3.4
0.1,1,21,3
0.1,7,7,2.5
0.1,8,16,3.5
0.2,0,1,4.2
0.1,0,1,0.7
0.3,29,33,2.2
0.3,13,18,2.9
0.5,34,35,2.9
0.1,0,2,1.1
