"TCD","DLOC","TCLOC","scores_ANN"
0.5,0,68,5.2
0.6,9.5,45,4.6
0.4,20,101,6.5
0.4,4,22,5.2
0.5,10,1315,8.4
0.4,0,20,5.2
0.4,7,1478,8.8
0.2,1,38,6.5
0.2,2.5,203,6.4
0.3,9,225,6.2
0.2,5,65,6.9
0.2,19,107,7.3
0.4,1,39,5.6
0.6,3,18,5.4
0.2,3,1744,9.8
0.1,0,640,9.7
0.3,4,3686,11.3
0.2,3,63,6.3
0.2,0,314,9.3
0.2,0,26,4.8
0.2,7,9305,10.9
0.3,9.5,185,7.7
0.7,7,82,6.1
0.1,0,575,8.2
0.4,39,79,7.6
0.3,0,16,6.1
0.2,1.5,37,6.4
0.4,0,162,7.5
0.4,5,62,5.5
0.3,0,78,5
0.5,1.5,289,8.1
0.2,1,91,7.3
0.3,0,71,5.9
0.6,13,300,6
0.4,5,738,7.7
0.3,10.5,921,9.7
0.6,19.5,145,6.3
0.4,28,389,8.6
0.5,2,81,6.1
0.3,5,66,6.2
0.2,0,142,7.7
0.2,2,3124,9.7
0.5,16,245,6.6
0.2,3,117,6.8
0.2,0,75,6.6
0.2,0,1887,9.6
0.3,0,26,4.5
0.3,16,243,7.8
0.1,0,1294,9.7
0,0,15,7.9
0.2,0,3755,13.2
0.6,5,5,4.4
0.2,7,12318,14.3
0.1,0,643,11.9
0.1,0,3,4.3
0.4,0,16,7.3
0.2,0,12796,7.9
0.4,4,6025,11.6
0.3,3,9,4.7
0.4,51,384,12.1
0.5,1.5,51,7.5
0.3,12,499,8.9
0.2,3,222,9.8
0.4,2,126,7
0.2,0,13,3.1
0.6,6,206,7.4
0,0,7,7.5
0.2,1.5,469,6.7
0.2,7,805,8.6
0.2,0,304,8
0.3,3,382,8.2
0.3,5,724,10.9
0.2,6,1083,9.7
0.1,7,369,13.3
0.3,16.5,294,10
0.2,24,9305,9.2
0.1,2,63,11.2
0.2,7,35,7.9
0.2,15,18594,12.6
0.2,3,34740,5.4
0.2,0,12695,11.9
0.2,0,27,4.8
0.2,5,192,7.4
0.6,17,33,6.3
0.2,2,1001,9.5
0,0,0,7.3
0.2,0,65,6.2
0.1,3,39,7.8
0.6,7,188,7.3
0.3,19,645,5.6
0.1,0,201,8.3
0.5,18,94,7.8
0.2,13,228,9.4
0.6,3,335,7.5
0.3,6,71497,9.5
0.3,9,16566,10.6
0.3,5,89313,7.4
0.3,3,1456,13
0.2,0,1876,14.3
0.2,3.5,56179,10.1
0.1,0,44,8.2
0.2,22,8064,11.2
0.2,3,5763,12.5
0.2,3,3072,8.4
0.1,3,246,7.8
0.1,3,4250,10
0.1,4.5,561,12.2
0.1,0,54,12.1
0.3,36,17397,12.1
0.1,8,144,8.1
0.2,6,5159,10.3
0.3,1.5,622,10.2
0.2,5.5,3736,10.6
0.3,276,3234,11.9
0.2,0,49935,7.6
0.3,253,924,12
0.1,27,42,10.6
0.1,0,60138,8.9
0.2,29,4108,8.8
0.1,17,933,11.8
0.3,0,20220,5.4
0.2,3,55554,8.5
0.3,0,5093,12.1
0.4,8,28812,10.2
0.1,0,4277,13.9
0.1,0,144,12.2
0.2,3,467,7.2
0.4,4.5,2925,11.9
0.2,3,1855,11.9
0.1,5.5,233,12.3
0.2,11,5083,10.6
0.2,3.5,484,11
0.3,3.5,178,6.8
0.4,3,635,6.9
0.5,3,36,5.7
0.1,0,84,6.5
0.4,20.5,2649,6.3
0.3,17.5,67,6.4
0.3,18,206,6.8
0,0,5,8.5
0.4,0,34,5.8
0.8,0,125,4.7
0.3,15,310,9.2
0.3,4,1187,8.3
0.7,36.5,215,6.6
0.2,32,241,7.4
0.7,6.5,149,6.5
0.3,14,273,5.9
0.4,12,96,6.6
0.2,13,113,7.1
0.5,17.5,334,9.2
0.4,19,111,5.5
0,0,43,11.3
0.5,0,15,8.2
0.3,29.5,3635,13.6
0.3,14,9480,9.2
0.2,1,89,7.4
0.3,7.5,770,12.1
0.2,0,31,6.4
0.2,9,1747,10.7
0.1,0,63,10.5
0.3,50.5,23326,10.6
0.3,11,5692,9.8
0.1,11,102,6.4
0.3,3,3,7
0.2,0,3284,11.8
0.6,0,13,3.4
0.2,12.5,30,10
0.1,3,40,9.5
0.3,39,563,10.9
0.3,4,8086,8.1
0.2,12,54,7.1
0.2,18.5,99,7.9
0.5,3,820,9.6
0,0,189,9.4
0.4,7.5,849,8
0.4,40,223,7.6
0.3,8,31,4.5
0.3,3,177,6.9
0.3,6,384,8
0.3,25,2792,10.1
0.3,0,117,5.8
0.4,8,1295,10.7
0,0,0,5.8
0.2,0,105,7
0.3,24.5,394,9
0.1,0.5,108,9.3
0.6,14,89,8.6
0.1,10,608,10.8
0.4,2,712,5.5
0.2,5,2769,11.6
0.3,5,983,10.8
0.3,5,1108,10.1
0.2,6,272,10.4
0.4,3,139,8.3
0.3,0,219,6
0.3,6,114,5.2
0.2,4,75,7.1
0.4,7,52,5.6
0.4,0,42,5.3
0.4,3,178,6.8
0.7,3,20,3.9
0.3,21.5,333,8.6
0.3,2,111,6.9
0.1,10,21,7.8
0.2,0,16,5.2
0.5,8,1540,11.4
0.2,10.5,31,7.2
0.3,9,27,6.2
0.2,8,16,6.8
0.2,7.5,144,7.6
0.7,14,244,7.3
0.1,0,10,7.3
0.2,19,427,9.2
0.2,7,181,7.9
0.2,0,13,4.6
0.4,23,124,8.6
0.1,0,32,8.5
0.2,8.5,143,8.1
0.5,20,360,7.9
0.2,9,2209,12.6
0,0,3,11.3
0.4,36,254,8.6
0.6,0,245,8.3
0.2,41,81,10.2
0.4,3,72,6.7
0.1,6,168,8.1
0.1,3,22,8.3
0.5,8,228,8.1
0.1,3,731,9.5
0.3,27,1311,9.9
0.3,1.5,38,5.2
0.2,4,850,11.5
0.5,16,1175,8.3
0.3,0,26,4.6
0.1,21,88,8.2
0.1,3,8,7.6
0.4,2,123,6.5
0.3,22,81,7.4
0.5,0,34,4.9
0.2,0,66,5.7
0.2,0,110,7.6
0.2,26,79,7.9
0.5,5,143,7.8
0.3,0,95,5.9
0.3,3,98,8.4
0.1,3,159,8.9
0.1,0,15,6.9
0.1,3,139,8.6
0.3,14,9100,10.9
0.1,3,3,8.2
0.6,3,42,5.7
0.6,0,60,6.8
0.4,3,77,6.7
0.2,3,48,7.3
0.6,8,98,6.7
0.3,3,573,10.4
0.3,8,791,9.3
0.6,7.5,200,7.1
0.1,3.5,45,10.4
0.4,140,7430,11.8
0.6,59,230,6.9
0.3,4,212,8.2
0.1,0,39,5
0.2,3,122,6.9
0.2,12,91,7.9
0,0,0,5.7
0.5,3,37,5.7
0,0,0,9.7
0.5,8,419,7.7
0.2,0,283,9.2
0.3,3,479,8.7
0.1,4.5,309,8.6
0.6,11,690,7.8
0.3,16,408,8.2
0.1,4,27,9.9
0.4,4,153,6.4
0.2,0,120,8.9
0.2,0,65,5.5
0.1,5,43,9.1
0.4,13,141,8.2
0.3,0,13,4.8
0,0.5,25,8.9
0.2,14.5,447,11.5
0.1,0,235,9
0.6,10.5,315,7.7
0.2,0,647,9.3
0.3,18,88,6.6
0.4,0,85,6.6
0.3,3,776,9.4
0.1,0,130,8.1
0.2,0,39,5.3
0.1,0,79,6.6
0,1,1,5.5
0.3,31,986,8.7
0.6,5,126,7.8
0.7,0,15,4.6
0.3,9,4587,13
0.2,12,70,6.9
0.3,11.5,180,6.5
0.3,1.5,515,9
0.4,46,59,5.7
0.6,24,354,6.1
0.1,5,59,5.4
0.5,4,34,4.4
0.2,4,136,6.5
0.3,3,131,7
0.2,10,6284,10.8
0.1,3,160,7.9
0.6,0,40,5
0.3,8,1302,9.5
0.4,0,22,6.3
0.2,3,114,9.4
0.1,8,35,6.7
0.2,2,22,5
0.2,1,46,5
0.4,3,21,4.4
0.2,0,18,5
0.6,0,340,6.9
0.3,0,18,4.3
0.1,2.5,47,6.2
0.1,2,66,6.9
0.4,13,311,9.5
0.4,18,452,7.5
0.3,3,22,4.4
0.1,3,21,5
0.2,0,104,7.1
0.6,3.5,92,6.5
0.7,3,116,8.3
0.2,10,319,9.5
0.2,0,20,5.4
0.1,0,18,5.6
0.2,3,44,4.8
0.1,0,23,5.7
0.2,3,22,4.8
0.1,4,101,8.4
0.1,6,1425,11.4
0.1,0,18,5.7
0.4,2,20,4.4
0.1,6,39,6.2
0.4,3,22,4.4
0.2,0,19,5.6
0.2,5.5,485,9
0.2,3,33,5.7
0.1,1.5,46,6.5
0.1,23,99,6.8
0.6,27,214,7.8
0.1,5,57,7.1
0.1,0,31,6.5
0.2,2,42,6.1
0.1,1,54,6.8
0.4,8,65,7.1
0.2,0,102,6.9
0.1,0,101,8.3
0.4,3,164,6.8
0.1,1.5,17,8.2
0.3,19,76,6.9
0,0,0,7.4
0.3,3,181,6.8
0.2,3,165,10.4
0.4,12,235,7
0.3,5,584,7.6
0.5,5,398,8.5
0.2,3,195,8.1
0.3,3,5621,10.6
0.2,30,150,8.3
0.4,2,63,5.7
0.2,6,323,9.9
0.1,0,366,8.8
0.3,53.5,330,9.7
0.1,0,254,7.3
0.3,0,680,8.4
0.5,0,36,5.7
0.5,5.5,48,5.8
0.3,10.5,57,5.8
0.2,7,69,7.9
0.5,0,38,5.7
0.3,8.5,54,5.9
0.4,3.5,62,8.2
0.3,3.5,397,8.3
0.3,3.5,45,5.6
0.2,0,70,8.4
0,0,4,9.6
0.3,10,196,8.4
0.2,0,616,8.9
0.3,10,518,7.9
0.5,130.5,6651,9.2
0.2,7,182,11.4
0.1,0,32,9.6
0.4,19,1915,9.3
0.5,21,37,5.2
0.2,278.5,1080,10.2
0.3,6,42,5.6
0.3,3,196,9
0.4,9,2279,11.7
0,0,0,7.2
0.3,44,816,10.3
0.3,3,61,6
0.8,18,55,4.9
0,0,0,8.2
0,1,14,8.4
0.4,8,309,6.9
0.1,0,474,9.1
0.3,9,276,8.2
0.1,7.5,46,8.2
0.6,8,253,7.7
0.1,1,61,10
0.3,3,177,7.4
0.4,23,135,7.6
0.3,5.5,53,7.4
0.4,19,121,6.7
0.1,3,38,7.9
0.1,0,2001,9.1
0.5,6,167,8.3
0.4,16,1070,10.6
0.4,6,196,7.2
0.4,3,79,6
0.2,0,205,7.7
0.3,30,94,9.9
0.1,8.5,52,10.3
0.1,1,436,11.6
0.1,0,107,9.2
0.3,12.5,222,10.4
0.5,0,22,6.1
0.2,3,1312,10.7
0.6,5,226,7.4
0.2,0,347,8.5
0.4,27,211,8.7
0.1,1,390,10.5
0.3,3.5,3278,7.6
0.4,12,280,7.5
0.4,3,182,7.7
0.8,11,26,4.2
0.5,42,77,5.7
0.4,3,160,6.7
0.2,21.5,6999,8.2
0.3,18,231,7.9
0.3,10.5,2699,12.4
0.4,3,62,7
0,1,14,10.3
0.2,4,96,6.2
0.1,0,294,8.3
0.3,8,69,9.1
