"NUMPAR","TNG","TNA","NPA","TLLOC","TNLS","scores_ANN"
47,1,1,0,29,0,3.3
47,0,18,2,159,0,4.8
47,6,8,0,111,0,6.4
1,0,0,0,6,0,1.3
8,0,0,0,66,0,1.5
0,0,0,0,19,0,1.9
0,0,0,0,6,0,0.7
4,0,2,0,25,0,4.1
10,0,0,0,10,0,3.5
10,5,5,0,52,0,3.6
0,0,0,0,6,0,2
3,0,4,0,82,0,1.7
6,1,2,0,67,0,4.6
8,0,0,0,7,0,2.6
50,3,8,2,89,0,4.9
2,1,2,0,24,0,3.2
7,15,5,1,18,0,2.8
7,1,9,0,171,0,1.3
0,0,0,0,7,0,0.7
1,10,2,0,9,0,3.9
3,0,0,0,6,0,2.5
12,0,3,0,71,0,4.2
23,1,33,3,430,0,4.3
5,0,0,0,66,0,3.6
5,30,32,0,8,0,5
5,0,1,0,15,0,3.5
0,0,0,0,16,0,1.9
0,0,1,1,6,0,1.9
5,1,4,0,45,0,1.7
5,9,1,0,101,0,3.9
1,0,1,0,6,0,0.2
8,1,6,0,73,0,4.3
2,0,4,0,23,0,2.7
5,0,0,0,23,0,4.6
5,0,0,0,27,0,5.3
2,0,0,0,11,0,4.4
1,0,1,1,8,0,1.4
2,4,4,2,144,0,5.4
0,0,4,0,6,0,1.8
4,0,0,0,26,0,2.3
1,1,2,0,32,1,5
1,0,3,3,8,0,2.7
5,0,1,0,35,0,1.2
4,0,0,0,8,0,2.3
0,0,0,0,9,0,2.2
0,0,2,1,9,0,2.5
3,0,1,0,26,0,4.2
1,0,0,0,6,0,0.7
5,0,0,0,53,0,2.1
5,0,2,0,547,0,1.2
0,1,10,0,223,5,2.4
5,0,6,0,24,0,3.3
3,0,1,1,7,0,1.7
26,0,13,0,232,11,4.9
26,0,0,0,7,0,4.2
3,4,7,4,23,0,3.5
12,2,10,0,95,2,5.7
12,0,1,0,22,0,4.1
12,0,2,0,46,0,3.4
12,0,0,0,5,0,2.6
4,0,3,0,29,0,2.8
6,0,5,0,21,0,3.2
5,0,4,0,17,0,3.2
7,1,4,0,122,1,6.2
7,0,0,0,6,0,1.8
0,0,2,0,11,0,1.4
7,4,19,3,223,0,3.6
8,0,0,0,7,0,2.7
8,1,1,1,14,0,3
0,0,2,0,6,0,1.4
