"NG","NPA","TNIN","TLLOC","TNLA","TNLS","scores_ANN"
0,0,1,75,2,0,5.2
0,0,0,34,1.5,0,4.6
8,2,1,171,14,0,6.5
0,0,0,31,1,0,5.2
24,3,3,1432,1,0,8.4
0,0,0,25,0,0,5.2
36,6,7,2515,2,0,8.8
5,0,0,119,7,0,6.5
5,0,0,774,1,0,6.4
1,3,0,587,2,0,6.2
3,1,0,334,1,0,6.9
9,4,0,347,12,0,7.3
1,0,0,70,0,0,5.6
0,0,0,13,0,1,5.4
83,36,5,6262,1,0,9.8
224,17,0,3864,3,0,9.7
173,49,16,8563,2,0,11.3
7,0,1,301,3,0,6.3
0,3,1,1130,2,0,9.3
0,0,0,94,2,0,4.8
613,135,24,34607,2,0,10.9
0,0,0,405,3,0,7.7
1,0,0,31,0,0,6.1
7,0,6,6244,0.5,0,8.2
2,0,0,106,6,0,7.6
2,0,0,32,1,1,6.1
2,1,0,184,5.5,1.5,6.4
0,0,0,215,0,0,7.5
1,0,0,102,0,0,5.5
4,0,0,213,2,0,5
6,0,4,329,4,3,8.1
33,2,2,425,4.5,0,7.3
4,3,0,134,0.5,0,5.9
0,0,2,211,1,0,6
15,10,5,1079,3,0,7.7
28,6,7,1861,1.5,0,9.7
0,0,0,102,1,0,6.3
12,2,3,627,6,0,8.6
0,2,0,95,0.5,0,6.1
3,1,0,157,1,0,6.2
0,0,1,802,0.5,0,7.7
75,28,18,10970,1,0,9.7
2,0,1,252,1.5,0,6.6
10,0,0,383,4,0,6.8
5,0,1,266,2,0,6.6
107,44,7,6466,2,0,9.6
0,0,0,76,0,0,4.5
0,0,0,573,1.5,0,7.8
87,237,4,9487,3.5,0,9.7
11,17,0,364,2.5,0,7.9
56,2,52,14811,2,0,13.2
0,0,0,4,0,0,4.4
97,196,25,50226,2,0,14.3
1,10,5,8846,0,0,11.9
0,0,0,22,3,0,4.3
0,0,0,20,1,0,7.3
0,0,420,40022,5,0,7.9
20,29,14,9526,3,0,11.6
0,0,0,24,0,0,4.7
7,0,1,522,1,7,12.1
4,0,1,42,2,0.5,7.5
0,4,4,1113,2,0,8.9
3,0,0,674,0.5,0,9.8
8,2,0,225,0.5,0,7
0,0,0,45,0,0,3.1
4,3,0,122,1,0,7.4
3,0,0,266,0.5,0,7.5
7,1,1,2562,0.5,0,6.7
9,7,4,2810,1,0,8.6
5,0,1,1148,2,0,8
22,3,1,1024,4,0,8.2
30,12,1,1943,1,0,10.9
30,3,9,3459,2,15,9.7
32,11,4,3072,15,8,13.3
0,0,0,707,0.5,0,10
8,225,81,38359,6,0.5,9.2
13,2,1,681,32,20,11.2
1,0,0,134,1,0,7.9
173,360,50,61127,5,1,12.6
0,0,106,115873,0,0,5.4
163,82,48,39783,3,0,11.9
1,0,0,88,3,0,4.8
4,0,1,841,3,0,7.4
0,1,0,26,2,0,6.3
102,0,1,3847,2.5,0,9.5
2,2,0,196,4,0,7.3
7,0,0,288,2,1,6.2
2,0,0,311,6,0,7.8
4,4,0,113,0.5,0,7.3
1,0,0,1385,2,0,5.6
14,11,1,1342,2,0,8.3
0,2,2,104,1,0,7.8
8,0,2,1158,3,1,9.4
0,0,5,234,1,0,7.5
102,15,186,173059,2,0,9.5
40,50,8,43319,2,0,10.6
0,0,188,249625,0,0,7.4
7,16,9,4255,3,0,13
71,52,7,9366,4,0,14.3
94,224,159,232833,1,0,10.1
0,0,1,397,0,0,8.2
56,7,85,38215,7,1,11.2
491,19,8,26831,1,0,12.5
1,9,4,15806,0,0,8.4
0,0,5,2598,0,0,7.8
59,27,25,26842,3,0,10
26,14,12,5897,4.5,3.5,12.2
3,0,0,992,1,0,12.1
352,106,44,48750,5,0,12.1
1,0,1,888,1,0,8.1
22,11,11,19586,3,0,10.3
0,0,11,1490,11.5,0.5,10.2
14,1,13,12675,12.5,0,10.6
57,2,24,8605,15.5,1.5,11.9
24,5,127,216073,1,0,7.6
20,19,1,1916,39,3,12
6,0,0,323,27,16,10.6
70,34,291,397781,2.5,0,8.9
6,0,64,17027,18,0,8.8
41,3,17,10800,6,3,11.8
0,6,216,52691,6,0,5.4
28,367,332,213593,4.5,0,8.5
26,25,28,13070,2,0,12.1
36,27,107,43226,0,0,10.2
104,299,28,26182,2,0,13.9
14,8,2,979,2,0,12.2
0,0,1,1506,0,0,7.2
34,39,14,5274,2.5,0,11.9
72,14,32,9179,3,0,11.9
59,2,8,2129,4,0.5,12.3
54,50,41,16419,3,1,10.6
32,1,9,2496,4.5,0,11
6,0,0,437,1.5,0,6.8
2,1,1,1164,1,0,6.9
0,0,0,38,1,0,5.7
3,0,1,855,4,0,6.5
3,0,15,4610,1.5,0,6.3
1,0,0,170,2.5,1,6.4
7,0,0,513,3,0,6.8
15,0,0,600,0,0,8.5
7,0,0,60,2,2,5.8
0,0,0,36,2,0,4.7
6,0,0,678,3,0,9.2
0,0,1,3305,0,0,8.3
0,2,0,85,1,1,6.6
1,0,1,726,10,0,7.4
2,9,0,74,0.5,0,6.5
7,0,0,580,2.5,0,5.9
5,0,0,129,1,0,6.6
14,0,0,387,6.5,5,7.1
13,3,0,394,2,0,9.2
0,0,0,184,8,0,5.5
3,2,0,1021,0,0,11.3
0,0,0,17,0,0,8.2
69,46,4,7368,2,0,13.6
2,46,15,21493,3,0,9.2
0,0,0,437,0,0,7.4
41,4,10,2103,1.5,13,12.1
0,0,0,150,7,0,6.4
5,21,10,6142,10,0,10.7
7,6,0,438,2.5,0,10.5
77,166,91,52837,10.5,0,10.6
2,39,16,14754,6,0,9.8
0,0,3,1012,0,0,6.4
0,0,0,8,0,0,7
4,0,60,10298,6,0,11.8
0,0,0,10,0,0,3.4
0,1,0,131,0.5,0,10
0,0,0,244,1,0,9.5
10,2,2,1070,2.5,0,10.9
2,2,16,21089,39,0,8.1
14,0,0,188,6.5,5,7.1
0,2,1,303,11.5,0.5,7.9
0,2,0,695,1,0,9.6
34,2,0,4037,1,0,9.4
16,5,8,1329,3,0,8
6,0,0,380,5,0,7.6
0,0,0,67,2,1,4.5
21,1,0,434,4,0,6.9
5,15,0,836,2,0,8
221,8,0,7401,3,1,10.1
5,0,1,282,1,0,5.8
73,59,2,2056,3,1,10.7
0,0,0,53,2.5,0,5.8
8,0,0,495,2,0,7
16,7,0,1015,2.5,0,9
41,1,0,806,10,0,9.3
1,0,0,48,0,0,8.6
12,5,2,5219,3.5,1.5,10.8
0,0,3,1044,0,0,5.5
27,13,3,11142,13,2,11.6
10,17,1,2140,2.5,0,10.8
9,159,2,3246,3,0,10.1
0,22,3,1470,12,0,10.4
2,0,0,196,3,0,8.3
2,0,2,490,0,0,6
0,0,0,328,0,0,5.2
0,0,0,306,6,0,7.1
0,0,1,65,4,0,5.6
0,0,1,57,1,0,5.3
0,0,0,237,0,0,6.8
0,0,0,8,0,0,3.9
0,0,0,828,3,0,8.6
0,0,0,283,1,0,6.9
9,0,0,213,1,0,7.8
0,0,0,85,0,0,5.2
45,23,4,1646,1,0,11.4
1,4,0,143,6.5,2.5,7.2
3,0,0,71,6,0,6.2
0,0,0,61,4,0,6.8
24,0,0,745,10,0,7.6
1,0,1,124,0,0,7.3
0,0,0,129,18,0,7.3
0,0,1,1348,3,0,9.2
14,14,0,712,13,0,7.9
0,0,0,39,1,0,5.7
0,0,0,60,4,0,4.6
3,0,1,177,4,0,8.6
5,4,5,591,1,0,8.5
30,0,1,716,2,0,8.1
2,0,3,317,0.5,0,7.9
20,37,16,7780,3,0,12.6
534,0,0,3988,1,1,11.3
6,9,1,453,6,0,8.6
5,12,3,194,0,0,8.3
1,0,0,355,25,0,10.2
0,0,0,131,2,0,6.7
12,2,0,999,7,0,8.1
3,0,0,149,0,0,8.3
14,0,1,209,0.5,0,8.1
6,65,0,5043,2,0,9.5
196,7,0,3237,3,0,9.9
7,2,0,72,1,0,5.2
47,25,3,4251,3,0,11.5
20,13,1,1261,1,0,8.3
0,0,0,58,0.5,0,4.6
7,12,0,523,7.5,0,8.2
0,0,0,60,0,0,7.6
0,0,0,40,2,0,5.7
0,1,0,175,1,0,6.5
6,0,0,182,2,1,7.4
2,5,0,28,2,2,4.9
0,0,0,348,1,0,5.7
3,0,0,520,4,0,7.6
3,0,0,295,5,0,7.9
1,0,1,160,2,0,7.8
11,0,0,194,2,0,5.9
2,0,0,186,0,0,8.4
20,0,4,1210,4,8,8.9
1,0,0,108,4,0,6.9
13,1,0,2014,6,0,8.6
132,93,25,18629,1,0,10.9
0,0,0,36,3,0,8.2
0,0,0,30,0,0,5.7
4,0,0,44,1,1,6.8
0,0,0,130,1,0,6.7
0,0,0,195,0,0,7.3
3,7,0,53,1,0,6.7
35,5,1,1715,0,0,10.4
27,43,5,1502,5,0,9.3
1,0,0,145,0.5,0,7.1
3,0,7,396,6,0,10.4
56,245,2,10176,8,0,11.8
6,7,2,158,7.5,3,6.9
0,17,5,425,3,0,8.2
1,0,0,229,5,0,5
23,0,0,601,5,0,6.9
0,0,0,301,1,0,7.9
0,0,0,41,1,0,5.7
0,0,0,36,0,0,5.7
