Property,Level,Minimum,Maximum
Complexity,Class,0.0944292104401,0.716228564958
Complexity,Package,0.165708918721,0.574074534618
Coupling,Class,0.146601668214,0.793474367575
Coupling,Package,0.241773573865,0.570159677138
Documentation,Class,0.112537464168,0.719926345819
Documentation,Package,0.0803105526062,0.672782335053
Inheritance,Class,0.303590747997,0.559926875059
Inheritance,Package,0.282879526631,0.4269774336
Size,Class,0.162177627296,0.739651660266
Size,Package,0.0460137985908,0.609201779348
